order,set_key,file_path,thumbnail,width,height
0,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_018.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_018.jpg,900,1498
1,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_024.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_024.jpg,900,1498
2,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_025.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_025.jpg,900,1498
3,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_019.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_019.jpg,900,1498
4,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_022.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_022.jpg,900,1498
5,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_023.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_023.jpg,900,1498
6,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_021.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_021.jpg,900,1498
7,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_009.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_009.jpg,900,1498
8,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_008.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_008.jpg,900,1498
9,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_020.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_020.jpg,900,1498
10,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_005.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_005.jpg,900,1498
11,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_011.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_011.jpg,900,1498
12,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_010.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_010.jpg,900,1498
13,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_004.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_004.jpg,900,1498
14,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_012.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_012.jpg,900,1498
15,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_006.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_006.jpg,900,1498
16,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_007.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_007.jpg,900,1498
17,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_013.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_013.jpg,900,1498
18,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_017.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_017.jpg,900,1498
19,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_003.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_003.jpg,900,1498
20,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_002.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_002.jpg,900,1498
21,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_016.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_016.jpg,900,1498
22,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_014.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_014.jpg,900,1498
23,Augusta,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/Augusta_AD_015.jpg,http://192.168.33.40:3000/dcic_docs/Augusta_Box92/thumb/Augusta_AD_015.jpg,900,1498
