order,file_path,thumbnail,width,height
1,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_001.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_001.jpg,900,1498
2,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_002.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_002.jpg,900,1498
3,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_003.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_003.jpg,900,1498
4,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_004.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_004.jpg,900,1498
5,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_005.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_005.jpg,900,1498
6,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_006.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_006.jpg,900,1498
7,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_007.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_007.jpg,900,1498
8,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_008.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_008.jpg,900,1498
9,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_009.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_009.jpg,900,1498
10,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_010.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_010.jpg,900,1498
11,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_011.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_011.jpg,900,1498
12,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_012.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_012.jpg,900,1498
13,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_013.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_013.jpg,900,1498
14,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_014.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_014.jpg,900,1498
15,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_015.jpg,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/thumb/Bridgeport_AD_015.jpg,900,1498
