order,file_path,thumbnail,width,height
1,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_001.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_001.jpg,900,1499
2,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_002.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_002.jpg,900,1499
3,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_003.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_003.jpg,900,1499
4,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_004.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_004.jpg,900,1499
5,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_005.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_005.jpg,900,1499
6,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_006.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_006.jpg,900,1502
7,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_007.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_007.jpg,900,1499
8,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_008.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_008.jpg,900,1499
9,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_009.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_009.jpg,900,1499
10,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_010.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_010.jpg,900,1499
11,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_011.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_011.jpg,900,1499
12,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_012.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_012.jpg,900,1499
13,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_013.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_013.jpg,900,1499
14,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_014.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_014.jpg,900,1499
15,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_015.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_015.jpg,900,1499
16,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_016.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_016.jpg,900,1499
17,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_017.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_017.jpg,900,1499
18,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_018.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_018.jpg,900,1499
19,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_019.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_019.jpg,900,1532
20,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_020.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_020.jpg,900,1541
21,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_021.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_021.jpg,900,1499
22,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_022.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_022.jpg,900,1499
23,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_023.jpg,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/thumb/Johnstown_AD_023.jpg,900,1499
