order,file_path,thumbnail,width,height
1,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_001.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_001.jpg,900,1502
2,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_002.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_002.jpg,900,1502
3,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_003.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_003.jpg,900,1502
4,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_004.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_004.jpg,900,1502
5,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_005.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_005.jpg,900,1502
6,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_006.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_006.jpg,900,1502
7,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_007.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_007.jpg,900,1502
8,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_008.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_008.jpg,900,1502
9,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_009.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_009.jpg,900,1502
10,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_010.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_010.jpg,900,1502
11,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_011.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_011.jpg,900,1502
12,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_012.jpg,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/thumb/Lower_Westchester_AD_012.jpg,900,1502
