order,file_path,thumbnail,width,height
1,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_001.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_001.jpg,900,1520
2,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_002.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_002.jpg,900,1520
3,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_003.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_003.jpg,900,1520
4,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_004.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_004.jpg,900,1520
5,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_005.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_005.jpg,900,1520
6,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_006.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_006.jpg,900,1520
7,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_007.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_007.jpg,900,1520
8,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_008.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_008.jpg,900,1520
9,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_009.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_009.jpg,900,1520
10,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_010.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_010.jpg,900,1520
11,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_011.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_011.jpg,900,1520
12,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_012.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_012.jpg,900,1520
13,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_013.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_013.jpg,900,1520
14,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_014.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_014.jpg,900,1520
15,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_015.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_015.jpg,900,1520
16,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_016.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_016.jpg,900,1520
17,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_017.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_017.jpg,900,1520
18,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_018.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_018.jpg,900,1520
19,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_019.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_019.jpg,900,1520
20,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_020.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_020.jpg,900,1520
21,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_021.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_021.jpg,900,1520
22,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_022.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_022.jpg,900,1520
23,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_023.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_023.jpg,900,1520
24,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_024.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_024.jpg,900,1520
25,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_025.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_025.jpg,900,1520
26,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_026.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_026.jpg,900,1520
27,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_027.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_027.jpg,900,1520
28,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_028.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_028.jpg,900,1520
29,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_029.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_029.jpg,900,1520
30,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_030.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_030.jpg,900,1520
31,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_031.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_031.jpg,900,1520
32,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_032.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_032.jpg,900,1520
33,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_033.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_033.jpg,900,1520
34,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_034.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_034.jpg,900,1520
35,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_035.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_035.jpg,900,1520
36,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_036.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_036.jpg,900,1520
37,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_037.jpg,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/thumb/New_Haven_AD_037.jpg,900,1520
