order,file_path,thumbnail,width,height
1,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_001.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_001.jpg,900,1492
2,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_002.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_002.jpg,900,1487
3,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_003.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_003.jpg,900,1487
4,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_004.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_004.jpg,900,1487
5,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_005.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_005.jpg,900,1487
6,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_006.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_006.jpg,900,1487
7,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_007.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_007.jpg,900,1487
8,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_008.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_008.jpg,900,1487
9,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_009.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_009.jpg,900,1487
10,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_010.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_010.jpg,900,1487
11,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_011.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_011.jpg,900,1487
12,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_012.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_012.jpg,900,1487
13,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_013.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_013.jpg,900,1496
14,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_014.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_014.jpg,900,1487
15,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_015.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_015.jpg,900,1487
16,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_016.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_016.jpg,900,1487
17,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_017.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_017.jpg,900,1487
18,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_018.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_018.jpg,900,1487
19,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_019.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_019.jpg,900,1487
20,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_020.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_020.jpg,900,1487
21,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_021.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_021.jpg,900,1487
22,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_022.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_022.jpg,900,1487
23,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_023.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_023.jpg,900,1487
24,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_024.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_024.jpg,900,1487
25,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_025.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_025.jpg,900,1487
26,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_026.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_026.jpg,900,1487
27,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_027.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_027.jpg,900,1487
28,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_028.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_028.jpg,900,1487
29,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_029.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_029.jpg,900,1487
30,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_030.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_030.jpg,900,1490
31,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_031.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_031.jpg,900,1487
32,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_032.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_032.jpg,900,1487
33,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_033.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_033.jpg,900,1487
34,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_034.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_034.jpg,900,1487
35,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_035.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_035.jpg,900,1487
36,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_036.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_036.jpg,900,1487
37,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_037.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_037.jpg,900,1487
38,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_038.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_038.jpg,900,1487
39,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_039.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_039.jpg,900,1487
40,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_040.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_040.jpg,900,1490
41,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_041.jpg,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_041.jpg,900,1487
