key,name,description,cover_image_url,external_url,retire_count
Altoona,Altoona Redlining Documents,Altoona Redlining Documents from Altoona_Box31,http://128.8.164.178:3000/dcic_docs/Altoona_Box31/Altoona_AD_001.jpg,http://128.8.164.178:3000,2
Augusta,Augusta Redlining Documents,Augusta Redlining Documents from Augusta_Box92,http://128.8.164.178:3000/dcic_docs/Augusta_Box92/Augusta_AD_001.jpg,http://128.8.164.178:3000,2
Birmingham,Birmingham Redlining Documents,Birmingham Redlining Documents from Birmingham_Box73,http://128.8.164.178:3000/dcic_docs/Birmingham_Box73/Birmingham_AD_001.jpg,http://128.8.164.178:3000,2
Bridgeport,Bridgeport Redlining Documents,Bridgeport Redlining Documents from Bridgeport_Box64,http://128.8.164.178:3000/dcic_docs/Bridgeport_Box64/Bridgeport_AD_001.jpg,http://128.8.164.178:3000,2
Camden,Camden Redlining Documents,Camden Redlining Documents from Camden_Box44,http://128.8.164.178:3000/dcic_docs/Camden_Box44/Camden_AD_001.jpg,http://128.8.164.178:3000,2
Columbus,Columbus Redlining Documents,Columbus Redlining Documents from Columbus_Box92,http://128.8.164.178:3000/dcic_docs/Columbus_Box92/Columbus_AD_001.jpg,http://128.8.164.178:3000,2
Dayton,Dayton Redlining Documents,Dayton Redlining Documents from Dayton_Box104,http://128.8.164.178:3000/dcic_docs/Dayton_Box104/Dayton_AD_001.jpg,http://128.8.164.178:3000,2
Decatur,Decatur Redlining Documents,Decatur Redlining Documents from Decatur_Box129,http://128.8.164.178:3000/dcic_docs/Decatur_Box129/Decatur_AD_001.jpg,http://128.8.164.178:3000,2
Erie,Erie Redlining Documents,Erie Redlining Documents from Erie_Box26,http://128.8.164.178:3000/dcic_docs/Erie_Box26/Erie_AD_001.jpg,http://128.8.164.178:3000,2
Greater,Greater Redlining Documents,Greater Redlining Documents from Greater_Boston_Box107,http://128.8.164.178:3000/dcic_docs/Greater_Boston_Box107/Greater_Boston_AD_002.jpg,http://128.8.164.178:3000,2
Hartford,Hartford Redlining Documents,Hartford Redlining Documents from Hartford_Box64,http://128.8.164.178:3000/dcic_docs/Hartford_Box64/Hartford_AD_001.jpg,http://128.8.164.178:3000,2
Jamestown,Jamestown Redlining Documents,Jamestown Redlining Documents from Jamestown_Box96,http://128.8.164.178:3000/dcic_docs/Jamestown_Box96/Jamestown_AD_001.jpg,http://128.8.164.178:3000,2
Johnstown,Johnstown Redlining Documents,Johnstown Redlining Documents from Johnstown_Box8,http://128.8.164.178:3000/dcic_docs/Johnstown_Box8/Johnstown_AD_001.jpg,http://128.8.164.178:3000,2
Joliet,Joliet Redlining Documents,Joliet Redlining Documents from Joliet_Box129,http://128.8.164.178:3000/dcic_docs/Joliet_Box129/Joliet_AD__001.jpg,http://128.8.164.178:3000,2
Kenosha,Kenosha Redlining Documents,Kenosha Redlining Documents from Kenosha_Box135,http://128.8.164.178:3000/dcic_docs/Kenosha_Box135/Kenosha_AD_001.jpg,http://128.8.164.178:3000,2
Lower,Lower Redlining Documents,Lower Redlining Documents from Lower_Westchester_County_1937_Box57,http://128.8.164.178:3000/dcic_docs/Lower_Westchester_County_1937_Box57/Lower_Westchester_AD_001.jpg,http://128.8.164.178:3000,2
Macon,Macon Redlining Documents,Macon Redlining Documents from Macon_Box92,http://128.8.164.178:3000/dcic_docs/Macon_Box92/Macon_AD_001.jpg,http://128.8.164.178:3000,2
Madison,Madison Redlining Documents,Madison Redlining Documents from Madison_Box136,http://128.8.164.178:3000/dcic_docs/Madison_Box136/Madison_AD_001.jpg,http://128.8.164.178:3000,2
McKeesport,McKeesport Redlining Documents,McKeesport Redlining Documents from McKeesport_Box93,http://128.8.164.178:3000/dcic_docs/McKeesport_Box93/McKeesport_AD_001.jpg,http://128.8.164.178:3000,2
Muncie,Muncie Redlining Documents,Muncie Redlining Documents from Muncie_Box114,http://128.8.164.178:3000/dcic_docs/Muncie_Box114/Muncie_AD_001.jpg,http://128.8.164.178:3000,2
New,New Redlining Documents,New Redlining Documents from New_Castle_Box94,http://128.8.164.178:3000/dcic_docs/New_Castle_Box94/New_Castle_AD_001.jpg,http://128.8.164.178:3000,2
New,New Redlining Documents,New Redlining Documents from New_Haven_Box81,http://128.8.164.178:3000/dcic_docs/New_Haven_Box81/New_Haven_AD_001.jpg,http://128.8.164.178:3000,2
Niagara,Niagara Redlining Documents,Niagara Redlining Documents from Niagara_Falls_Box60,http://128.8.164.178:3000/dcic_docs/Niagara_Falls_Box60/Niagara_Falls_AD_001.jpg,http://128.8.164.178:3000,2
Norfolk,Norfolk Redlining Documents,Norfolk Redlining Documents from Norfolk_Portsmouth_Box142,http://128.8.164.178:3000/dcic_docs/Norfolk_Portsmouth_Box142/Norfolk_Portsmouth_AD_001.jpg,http://128.8.164.178:3000,2
Oshkosh,Oshkosh Redlining Documents,Oshkosh Redlining Documents from Oshkosh_Box138,http://128.8.164.178:3000/dcic_docs/Oshkosh_Box138/Oshkosh_AD_001.jpg,http://128.8.164.178:3000,2
Pittsburgh,Pittsburgh Redlining Documents,Pittsburgh Redlining Documents from Pittsburgh_Box94,http://128.8.164.178:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_001.jpg,http://128.8.164.178:3000,2
Rancine,Rancine Redlining Documents,Rancine Redlining Documents from Rancine_Box148,http://128.8.164.178:3000/dcic_docs/Rancine_Box148/Rancine_AD_001.jpg,http://128.8.164.178:3000,2
Roanoke,Roanoke Redlining Documents,Roanoke Redlining Documents from Roanoke_Box 142,http://128.8.164.178:3000/dcic_docs/Roanoke_Box 142/Roanoke_AD_001.jpg,http://128.8.164.178:3000,2
Springfield,Springfield Redlining Documents,Springfield Redlining Documents from Springfield_Box131,http://128.8.164.178:3000/dcic_docs/Springfield_Box131/Springfield_AD_001.jpg,http://128.8.164.178:3000,2
Springfield,Springfield Redlining Documents,Springfield Redlining Documents from Springfield_Box49,http://128.8.164.178:3000/dcic_docs/Springfield_Box49/Springfield_AD_001.jpg,http://128.8.164.178:3000,2
St Joseph,St Joseph Redlining Documents,St Redlining Documents from St_Joseph_Box2,http://128.8.164.178:3000/dcic_docs/St_Joseph_Box2/St_Joseph_AD_001.jpg,http://128.8.164.178:3000,2
St Petesburg,St Petesburg Redlining Documents,St Redlining Documents from St_Petersburg_Box82,http://128.8.164.178:3000/dcic_docs/St_Petersburg_Box82/St_Petersburg_AD_001.jpg,http://128.8.164.178:3000,2
Stamford,Stamford Redlining Documents,Stamford Redlining Documents from Stamford_Box81,http://128.8.164.178:3000/dcic_docs/Stamford_Box81/Stamford_AD_001.jpg,http://128.8.164.178:3000,2
Terre,Terre Redlining Documents,Terre Redlining Documents from Terre_Haute_Box64,http://128.8.164.178:3000/dcic_docs/Terre_Haute_Box64/Terre_Haute_AD_001.jpg,http://128.8.164.178:3000,2
Trenton,Trenton Redlining Documents,Trenton Redlining Documents from Trenton_Box15,http://128.8.164.178:3000/dcic_docs/Trenton_Box15/Trenton_AD_001.jpg,http://128.8.164.178:3000,2
Warren,Warren Redlining Documents,Warren Redlining Documents from Warren_Box25,http://128.8.164.178:3000/dcic_docs/Warren_Box25/Warren_AD_001.jpg,http://128.8.164.178:3000,2
