order,set_key,file_path,thumbnail,width,height
1,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_002.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_002.jpg,900,1487
2,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_003.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_003.jpg,900,1487
3,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_004.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_004.jpg,900,1489
4,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_005.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_005.jpg,900,1487
5,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_006.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_006.jpg,900,1487
6,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_007.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_007.jpg,900,1487
7,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_008.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_008.jpg,900,1487
8,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_009.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_009.jpg,900,1487
9,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_010.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_010.jpg,900,1487
10,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_011.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_011.jpg,900,1487
11,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_012.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_012.jpg,900,1487
12,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_013.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_013.jpg,900,1487
13,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_014.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_014.jpg,900,1487
14,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_015.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_015.jpg,900,1487
15,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_016.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_016.jpg,900,1487
16,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_017.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_017.jpg,900,1487
17,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_018.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_018.jpg,900,1487
18,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_019.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_019.jpg,900,1487
19,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_020.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_020.jpg,900,1487
20,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_021.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_021.jpg,900,1487
21,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_022.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_022.jpg,900,1490
22,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_023.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_023.jpg,900,1487
23,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_024.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_024.jpg,900,1487
24,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_025.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_025.jpg,900,1487
25,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_026.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_026.jpg,900,1487
26,Stamford,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/Stamford_AD_027.jpg,http://ec2-52-70-66-131.compute-1.amazonaws.com:3000/dcic_docs/Stamford_Box81/thumb/Stamford_AD_027.jpg,900,1487
