order,set_key,file_path,thumbnail,width,height
0,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_002.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_002.jpg,900,1487
1,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_003.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_003.jpg,900,1487
2,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_004.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_004.jpg,900,1487
3,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_005.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_005.jpg,900,1487
4,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_006.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_006.jpg,900,1487
5,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_007.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_007.jpg,900,1487
6,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_008.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_008.jpg,900,1487
7,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_009.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_009.jpg,900,1487
8,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_010.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_010.jpg,900,1487
9,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_011.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_011.jpg,900,1487
